﻿主播ID,主播昵称,抖音号,抖音号（原）,火山号,火山号（原）,粉丝数,上次开播时间,签约类型,运营经纪人,招募经纪人,首播时间,入会时间,西瓜号,备注,分成比-直播音浪收益,视频个播有效天,开播总时长,开播有效时长,涨粉,人气峰值,feed看播时长,作品数,视频播放量,视频点赞量,视频评论量,feed_acu,主播标签
104181990598,阿拉飛,1444339234,1444339234,1223128354,1223128354,23210,0小时前,普通主播,星河计划-进阶,怀旧服,2021-11-01,2024-04-25,-,*28村-免费版,50,1,3小时6分钟39秒,3小时6分钟39秒,12,54,49小时31分钟38秒,1,26819,36,29,16,
99322674855,乌鸦坐飞机-阿福,2017018503,2017018503,1262873824,1262873824,5237,8小时前,普通主播,星河计划-进阶,怀旧服,2024-07-19,2024-07-18,-,7村-免费版,50,1,5小时16分钟18秒,5小时16分钟18秒,0,48,48小时3分钟26秒,0,6115,8,6,9,
411685227080571,怀旧石头,74507806290,74507806290,74507806290,74507806290,3869,17小时前,普通主播,星河计划-进阶,怀旧服,2025-07-09,2025-07-05,-,免费版直播村,50,1,1小时59分钟20秒,1小时59分钟20秒,6,67,47小时57分钟59秒,1,1322,5,5,24,
1389428018262040,大话西游2小秦哥哥,only52506,3975989167,only52506,3729500457,5276,2小时前,普通主播,情义计划,,2022-09-03,2023-11-02,-,,50,1,4小时0分钟59秒,4小时0分钟59秒,17,41,44小时5分钟44秒,0,339,0,0,11,
436584069919,物理课代表,kejindali,4169673559,kejindali,3921644681,6667,1日前,普通主播,星河计划-进阶,,2021-04-01,2023-11-19,-,8村,50,0,0小时50分钟18秒,0小时50分钟18秒,40,84,42小时44分钟13秒,1,118380,287,262,51,
64106094314,大话2尘缘十三,866178423,866178423,1761457248,1761457248,1519,0小时前,普通主播,星河计划,星河计划,2022-10-26,2024-03-05,-,6村,50,1,2小时58分钟7秒,2小时58分钟7秒,38,52,41小时55分钟44秒,2,13303,58,50,14,
7542549441800455225,大话怀旧白帅,62849771330,62849771330,62849771330,62849771330,929,20小时前,普通主播,星河计划,怀旧服,2025-08-26,2025-08-29,-,35村-免费版,50,1,8小时33分钟38秒,8小时33分钟38秒,5,28,41小时37分钟55秒,0,185,3,1,5,
1355063817405827,大话西游2小海,89928522907,89928522907,89928522907,89928522907,16855,7小时前,普通主播,星河计划-进阶,星河计划,2024-12-25,2024-08-07,-,20村,50,1,3小时8分钟37秒,3小时8分钟19秒,14,48,41小时28分钟1秒,1,29984,20,41,13,
3768767110190563,大话西游2建军,jianjun666555,3710627802,jianjun666555,3466487193,7558,17小时前,普通主播,星河计划,星河计划,2023-11-28,2025-07-29,-,20村,50,1,2小时25分钟22秒,2小时25分钟22秒,4,64,40小时50分钟33秒,2,3429,18,9,17,
575776785968347,大话西游2青天,sbdcwy511304,2894344250,sbdcwy511304,1604256640,1157,20小时前,普通主播,星河计划二十五期,星河计划,2024-12-20,2025-12-01,-,16村,50,1,10小时55分钟30秒,10小时49分钟29秒,4,23,40小时20分钟36秒,0,104,0,3,4,
3790755821261309,大话西游2小意,dy2acrsre818,3682539509,,0,7358,1小时前,普通主播,星河计划,怀旧服,2025-09-04,2025-04-03,-,28村-免费版,50,1,6小时0分钟30秒,6小时0分钟30秒,7,20,38小时30分钟37秒,1,7435,35,74,6,
18044023218599,街头篮球大脸猫！,DLM5181,60607911763,DLM5181,60607911763,4485,15小时前,普通主播,星河计划二十六期,免费版,2023-06-26,2025-12-28,-,7村-免费版,50,1,1小时10分钟58秒,1小时10分钟58秒,8,142,36小时40分钟11秒,0,275,1,0,31,
3205820881044756,大话2势不可挡,mjklmj888,2270855942,mjklmj888,1904810683,8437,17小时前,普通主播,星河计划,星河计划,2022-12-02,2024-06-09,-,23村,50,1,1小时53分钟39秒,1小时53分钟39秒,9,88,36小时35分钟3秒,0,1880,3,1,19,
1930395121630547,大话千禧,dahuanxi7727,2999424531,dahuanxi7727,2619210521,11630,1小时前,普通主播,星河计划-进阶,,2023-11-30,2023-11-18,-,5村,50,1,2小时48分钟58秒,2小时48分钟58秒,5,66,36小时11分钟5秒,0,3517,0,3,13,
3433135897318224,南风。,30938061138,30938061138,30938061138,30938061138,2691,7小时前,普通主播,星河计划,怀旧服,2024-08-31,2024-12-05,-,28村-免费版,50,1,3小时58分钟42秒,3小时58分钟42秒,7,42,35小时50分钟56秒,1,1836,9,16,9,
99851716813,大话西游2小叶,ye19972662827,2316674385,ye19972662827,1868527149,3326,8小时前,普通主播,星河计划,星河计划,2022-07-25,2023-09-18,-,1村,50,1,16小时46分钟19秒,16小时46分钟19秒,1,24,35小时50分钟44秒,1,3740,9,0,2,
75211244174,大话西游2庞老板,122089967,122089967,716931496,716931496,4357,4小时前,普通主播,星河计划-进阶,星河计划,2025-04-01,2025-04-07,-,23村,50,1,11小时9分钟52秒,11小时9分钟52秒,7,27,35小时34分钟52秒,1,1442,4,0,3,
111059073064,大话西游2叶子,aiyezi329,2021263183,aiyezi329,1098307590,16152,3小时前,普通主播,情义计划,,2020-02-06,2023-08-29,-,,50,1,4小时19分钟41秒,4小时19分钟41秒,14,37,35小时3分钟59秒,0,29431,72,-12,8,
872343582019979,大话西游2小胡,66525464640,66525464640,66525464640,66525464640,1217,4小时前,普通主播,星河计划-进阶,怀旧服,2025-12-21,2025-12-23,-,免费版,50,1,7小时48分钟20秒,7小时48分钟20秒,9,52,34小时16分钟28秒,2,19215,34,15,4,
1715714518170467,大话西游_肉丸子,40624368131,40624368131,40624368131,40624368131,4908,1小时前,普通主播,星河计划-进阶,怀旧服,2024-11-10,2024-10-17,-,7村-免费版,50,1,3小时18分钟51秒,3小时15分钟36秒,11,43,33小时25分钟39秒,1,4823,16,22,10,
